photo_id,kmeans_label,hdbscan_label,kmeans_k,index,username,category,lat,long,is_llava_imputed
319da23e-e8e2-4df1-8205-88f3865d4445,10,10,11,51,rojan,works_well,47.498184,8.738951,False
5bfba099-dae7-43e5-b325-9976e96b6aaf,3,-1,11,52,teri284,works_well,,,False
56685ab6-4758-438a-8526-1f516c21b8f1,1,0,11,53,rojan,works_well,47.49812,8.745767,False
52ef5e95-4b28-4ed5-bd83-c4b4a94e5363,0,9,11,54,arejou,works_well,47.498955,8.749786,False
1b49ca4e-0145-4453-85a7-05721bbc1aae,9,2,11,55,rojan,works_well,47.496414,8.751983,False
f00c4b94-d069-4e8f-96ce-727d1e5e0f9f,10,4,11,56,rojan,works_well,47.497383,8.751247,False
7ac4b80a-f344-4365-b849-df3a11887209,8,9,11,57,mountainpixel,works_well,47.499138,8.721843,False
f825ceda-bd9b-4146-85e7-3e3b8c50ba9b,4,3,11,58,c_real,works_well,47.49778,8.750919,False
d1d6e21c-0277-4158-be65-00d3bf896f3d,10,8,11,59,rojan,works_well,47.4988,8.750682,False
33cb8cf0-ade7-4d5d-a403-6c2815cfa3e6,10,-1,11,60,pascal,works_well,47.4993,8.72136,False
9528be5a-25b9-4321-ac6c-17e48ab2736b,7,4,11,61,c_real,works_well,47.498863,8.751258,False
b521c363-ab05-42be-8111-11fefe0340aa,4,3,11,62,xolivier,works_well,,,False
a012c644-d3e7-4ce6-b9e3-08c37299392f,1,0,11,63,miqilo,works_well,47.498913,8.750818,False
be4aa360-6fac-42aa-b8be-5ff0b076abcb,4,3,11,64,rojan,works_well,47.498856,8.750981,False
e8c8c524-cb1f-40b7-b429-4977c5970b8d,1,0,11,65,rojan,works_well,47.499493,8.75136,False
a427187c-9b38-43d7-aea2-8356b2fcb775,8,8,11,66,xolivier,works_well,,,False
ae40c1d0-221f-4152-9559-5babcd5c1c69,5,2,11,67,mountainpixel,works_well,47.498875,8.750695,False
3b5a2271-0421-45ab-9676-7c7b47d3ed7d,8,9,11,68,pascal,works_well,47.500744,8.724112,True
31162a1f-6d34-4a61-acd1-7ee87f75d307,10,10,11,69,rojan,works_well,47.4993,8.749814,False
b73ac43c-f267-404a-9baa-de3153050f9d,5,-1,11,70,pascal,works_well,47.498962,8.749873,False
87ff3add-97fd-4749-a8f2-e2f99bde272b,5,-1,11,71,c_real,works_well,47.49888,8.750446,False
81b98ebc-c0d5-4b5e-b377-247c2f5cdf5c,5,-1,11,72,oli,works_well,,,False
fba7cf39-6dd0-43d0-b239-460c97cda560,8,10,11,73,xolivier,works_well,,,False
e0a1cde3-0c65-40af-bb6d-86f667a4b0aa,6,8,11,74,xolivier,works_well,,,False
80079bcb-dd16-4b2b-bf9f-d8e20ffd6039,4,3,11,75,miqilo,works_well,47.49592,8.751026,False
ed1891d6-dc06-472d-b346-dccbcfc82b5b,1,0,11,76,c_real,works_well,47.499207,8.751086,False
